Interface,Protocol,"Duration (s)","Request Time","SIP Dialog Call ID","Request IMS Entity","Request IMS Entity Call Leg","Request Node Name","Request IP Address","Request Method","Request Packet ID","Response Time","Response IMS Entity","Response IMS Entity Call Leg","Response Node Name","Response IP Address","Response Method","Response Packet ID"
Gm,sip,"1,068","2017-11-06 14:34:36.912",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,UA,Originating,"orig. UA",51.1.4.7,INVITE,201,"2017-11-06 14:34:37.980",P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.181.186,"180 Ringing",249
Gm,sip,"4,382","2017-11-06 14:34:36.912",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,UA,Originating,"orig. UA",51.1.4.7,INVITE,201,"2017-11-06 14:34:41.294",P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.181.186,"200 OK",277
Gq',diameter,"0,012","2017-11-06 14:34:36.918",-,P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.180.133,Request,202,"2017-11-06 14:34:36.930",RACS,Originating,TA2D_NBG_LISA1,217.89.20.18,"Answer (2001)",203
Mw,sip,"1,036","2017-11-06 14:34:36.942",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.180.133,INVITE,204,"2017-11-06 14:34:37.978",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"180 Ringing",248
Mw,sip,"4,339","2017-11-06 14:34:36.942",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.180.133,INVITE,204,"2017-11-06 14:34:41.281",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"200 OK",276
ISC,sip,"0,851","2017-11-06 14:34:37.078",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,INVITE,206,"2017-11-06 14:34:37.929",MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,"180 Ringing",247
ISC,sip,"4,138","2017-11-06 14:34:37.078",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,INVITE,206,"2017-11-06 14:34:41.216",MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,"200 OK",275
ISC,sip,"0,832","2017-11-06 14:34:37.095",p65540t1509975277m78183c3831486s2,MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,INVITE,208,"2017-11-06 14:34:37.927",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"180 Ringing",246
ISC,sip,"4,119","2017-11-06 14:34:37.095",p65540t1509975277m78183c3831486s2,MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,INVITE,208,"2017-11-06 14:34:41.214",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"200 OK",274
DNS,dns,"0,015","2017-11-06 14:34:37.161",-,S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"NAPTR query",210,"2017-11-06 14:34:37.176",iDNS,Originating,TA2D_LB_iDNS,217.243.180.12,"NAPTR response",220
DNS,dns,"0,002","2017-11-06 14:34:37.164",-,iDNS,Originating,TA2D_LB_iDNS,217.243.180.12,"NAPTR query",211,"2017-11-06 14:34:37.166",LB-MZ,Originating,"TA2e LB-MZ NBG-ELRT225",217.243.182.25,"NAPTR response",214
DNS,dns,"0,001","2017-11-06 14:34:37.165",-,iDNS,Originating,TA2E_LB_iDNS,217.243.182.26,"NAPTR query",212,"2017-11-06 14:34:37.166",iDNS,Originating,"NG-NP SLE903",80.156.154.7,"NAPTR response",215
DNS,dns,"0,004","2017-11-06 14:34:37.168",-,iDNS,Originating,TA2E_LB_iDNS,217.243.182.26,"NAPTR query",216,"2017-11-06 14:34:37.172",iDNS,Originating,"NG-NP SLE902",80.156.154.6,"NAPTR response",218
DNS,dns,"0,004","2017-11-06 14:34:37.168",-,iDNS,Originating,TA2D_LB_iDNS,217.243.180.12,"NAPTR query",217,"2017-11-06 14:34:37.172",LB-MZ,Originating,"TA2e LB-MZ NBG-ELRT225",217.243.182.25,"NAPTR response",219
-,diameter,"0,012","2017-11-06 14:34:37.334",-,S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,Request,221,"2017-11-06 14:34:37.346",HSS-FE,Originating,Unknown-HSS-FE,80.156.138.97,"Answer (2001)",230
Cx,diameter,"0,004","2017-11-06 14:34:37.341",-,HSS-FE,Originating,Unknown-HSS-FE,80.156.138.97,Request,227,"2017-11-06 14:34:37.345",HSS,Originating,TA2D_HSS1,217.243.180.1,"Answer (2001)",229
ISC,sip,"0,382","2017-11-06 14:34:37.451",p65540t1509975277m78183c3831486s2,S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,INVITE,232,"2017-11-06 14:34:37.833",MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,"180 Ringing",245
ISC,sip,"3,642","2017-11-06 14:34:37.451",p65540t1509975277m78183c3831486s2,S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,INVITE,232,"2017-11-06 14:34:41.093",MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,"200 OK",273
ISC,sip,"0,370","2017-11-06 14:34:37.461",p65540t1509975277m450407c3831488s2,MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,INVITE,234,"2017-11-06 14:34:37.831",S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,"180 Ringing",244
ISC,sip,"3,629","2017-11-06 14:34:37.461",p65540t1509975277m450407c3831488s2,MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,INVITE,234,"2017-11-06 14:34:41.090",S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,"200 OK",272
Mw,sip,"0,206","2017-11-06 14:34:37.578",p65540t1509975277m450407c3831488s2,S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,INVITE,236,"2017-11-06 14:34:37.784",P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.180.133,"180 Ringing",243
Mw,sip,"3,456","2017-11-06 14:34:37.578",p65540t1509975277m450407c3831488s2,S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,INVITE,236,"2017-11-06 14:34:41.034",P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.180.133,"200 OK",271
Gq',diameter,"0,011","2017-11-06 14:34:37.585",-,P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.180.133,Request,237,"2017-11-06 14:34:37.596",RACS,Terminating,TA2D_NBG_LISA4,217.89.20.49,"Answer (2001)",238
Gm,sip,"0,175","2017-11-06 14:34:37.607",p65540t1509975277m450407c3831488s2,P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.181.186,INVITE,239,"2017-11-06 14:34:37.782",UA,Terminating,"term. UA",51.1.6.53,"180 Ringing",242
Gm,sip,"3,414","2017-11-06 14:34:37.607",p65540t1509975277m450407c3831488s2,P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.181.186,INVITE,239,"2017-11-06 14:34:41.021",UA,Terminating,"term. UA",51.1.6.53,"200 OK",270
Gm,sip,"0,506","2017-11-06 14:34:38.018",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,UA,Originating,"orig. UA",51.1.4.7,PRACK,250,"2017-11-06 14:34:38.524",P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.181.186,"200 OK",269
Mw,sip,"0,502","2017-11-06 14:34:38.020",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.180.133,PRACK,251,"2017-11-06 14:34:38.522",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"200 OK",268
ISC,sip,"0,395","2017-11-06 14:34:38.090",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,PRACK,252,"2017-11-06 14:34:38.485",MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,"200 OK",266
ISC,sip,"0,393","2017-11-06 14:34:38.091",p65540t1509975277m78183c3831486s2,MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,PRACK,253,"2017-11-06 14:34:38.484",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"200 OK",265
ISC,sip,"0,170","2017-11-06 14:34:38.246",p65540t1509975277m78183c3831486s2,S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,PRACK,254,"2017-11-06 14:34:38.416",MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,"200 OK",264
ISC,sip,"0,168","2017-11-06 14:34:38.247",p65540t1509975277m450407c3831488s2,MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,PRACK,255,"2017-11-06 14:34:38.415",S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,"200 OK",263
Mw,sip,"0,070","2017-11-06 14:34:38.313",p65540t1509975277m450407c3831488s2,S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,PRACK,258,"2017-11-06 14:34:38.383",P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.180.133,"200 OK",262
Gm,sip,"0,066","2017-11-06 14:34:38.315",p65540t1509975277m450407c3831488s2,P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.181.186,PRACK,259,"2017-11-06 14:34:38.381",UA,Terminating,"term. UA",51.1.6.53,"200 OK",261
Gm,sip,"0,517","2017-11-06 14:34:42.243",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,UA,Originating,"orig. UA",51.1.4.7,BYE,291,"2017-11-06 14:34:42.760",P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.181.186,"200 OK",307
Mw,sip,"0,513","2017-11-06 14:34:42.245",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.180.133,BYE,292,"2017-11-06 14:34:42.758",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"200 OK",306
ISC,sip,"0,398","2017-11-06 14:34:42.319",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,BYE,293,"2017-11-06 14:34:42.717",MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,"200 OK",304
ISC,sip,"0,393","2017-11-06 14:34:42.322",p65540t1509975277m78183c3831486s2,MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,BYE,294,"2017-11-06 14:34:42.715",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"200 OK",303
ISC,sip,"0,183","2017-11-06 14:34:42.457",p65540t1509975277m78183c3831486s2,S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,BYE,295,"2017-11-06 14:34:42.640",MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,"200 OK",302
ISC,sip,"0,179","2017-11-06 14:34:42.459",p65540t1509975277m450407c3831488s2,MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,BYE,296,"2017-11-06 14:34:42.638",S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,"200 OK",301
Mw,sip,"0,074","2017-11-06 14:34:42.528",p65540t1509975277m450407c3831488s2,S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,BYE,297,"2017-11-06 14:34:42.602",P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.180.133,"200 OK",300
Gm,sip,"0,069","2017-11-06 14:34:42.531",p65540t1509975277m450407c3831488s2,P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.181.186,BYE,298,"2017-11-06 14:34:42.600",UA,Terminating,"term. UA",51.1.6.53,"200 OK",299
