KPI,Average,Variance,"Std. Deviation",Minimum,Maximum,"95% Percentile"
"Forwarding Time Next Entity for All Calls","0,040","0,003","0,051","0,001","0,158","0,155"
"IMS Forwarding Time Request","0,695","0,000","0,000","0,695","0,695","0,695"
"IMS Forwarding Time Response","0,273","0,000","0,000","0,273","0,273","0,273"
"Request Response Durations for All Calls","0,993","2,135","1,461","0,001","4,382","4,138"
"Session Establishment Time","4,382","0,000","0,000","4,382","4,382","4,382"
"Session Processing Time","0,968","0,000","0,000","0,968","0,968","0,968"
"Session Ringing Time","1,068","0,000","0,000","1,068","1,068","1,068"
"System Forwarding Time","0,144","0,060","0,246","0,010","0,636","0,636"
"System Forwarding Time for Response for All Calls","0,038","0,005","0,073","0,001","0,247","0,194"
"System Processing Time","0,604","1,555","1,247","0,001","3,719","3,483"
